     # analyt         jacobi          gauss            sor
      -0.001146    -0.00115366    -0.00115323    -0.00115273
      -0.002092    -0.00210392    -0.00210308    -0.00210213
      -0.002852    -0.00288583    -0.00288461    -0.00288325
      -0.003489    -0.00352908    -0.00352751    -0.00352577
      -0.004019    -0.00405849    -0.00405659    -0.00405452
      -0.004447    -0.00449459    -0.00449239    -0.00449002
      -0.004805    -0.00485423    -0.00485177    -0.00484912
      -0.005105    -0.00515121     -0.0051485    -0.00514562
      -0.005349    -0.00539677    -0.00539383    -0.00539075
      -0.005551    -0.00560007    -0.00559694    -0.00559368
      -0.005724    -0.00576861     -0.0057653     -0.0057619
      -0.005865    -0.00590848    -0.00590503    -0.00590149
       -0.00598    -0.00602469     -0.0060211    -0.00601747
      -0.006081    -0.00612133    -0.00611763    -0.00611392
      -0.006164    -0.00620175    -0.00619796    -0.00619419
       -0.00623    -0.00626872    -0.00626486    -0.00626105
      -0.006288    -0.00632451     -0.0063206    -0.00631677
      -0.006338      -0.006371    -0.00636705    -0.00636322
      -0.006376    -0.00640974    -0.00640577    -0.00640195
       -0.00641    -0.00644201    -0.00643803    -0.00643424
       -0.00644    -0.00646886    -0.00646488    -0.00646114
      -0.006462    -0.00649118    -0.00648722    -0.00648352
      -0.006481    -0.00650968    -0.00650575    -0.00650212
      -0.006499    -0.00652496    -0.00652107    -0.00651751
      -0.006512    -0.00653751    -0.00653368     -0.0065302
      -0.006522    -0.00654774    -0.00654397    -0.00654059
      -0.006532    -0.00655597    -0.00655227    -0.00654899
       -0.00654    -0.00656246    -0.00655884    -0.00655568
      -0.006543    -0.00656742     -0.0065639    -0.00656085
      -0.006548    -0.00657101    -0.00656759    -0.00656467
      -0.006552    -0.00657334    -0.00657003    -0.00656724
      -0.006551    -0.00657449    -0.00657129    -0.00656864
      -0.006551    -0.00657449    -0.00657141    -0.00656891
      -0.006552    -0.00657334    -0.00657039    -0.00656804
      -0.006548    -0.00657101    -0.00656819      -0.006566
      -0.006543    -0.00656742    -0.00656474    -0.00656271
       -0.00654    -0.00656246    -0.00655992    -0.00655805
      -0.006532    -0.00655597    -0.00655357    -0.00655188
      -0.006522    -0.00654774     -0.0065455    -0.00654397
      -0.006512    -0.00653751    -0.00653542    -0.00653407
      -0.006499    -0.00652496    -0.00652303    -0.00652184
      -0.006481    -0.00650968    -0.00650791    -0.00650689
